Loan,Pool,Price
103407768,pool_155,176084.102407398
103407768,pool_384,175921.413630569
103407768,pool_11,175894.933623178
103407768,pool_397,175772.488630569
103407768,pool_9,175749.021157398
103407768,pool_385,175745.583123178
103407768,pool_237,175623.563630569
103407768,pool_398,175596.658123178
103407768,pool_383,175470.705011398
103407768,pool_238,175447.733123178
103407768,pool_396,175321.780011398
103407768,pool_236,175172.855011398
103407768,pool_159,174520.795280308
103407768,pool_160,174286.543623178
103407768,pool_158,174086.379907398
103407768,pool_169,174074.020280308
103407768,pool_387,174013.258880568
103407768,pool_388,173917.209623178
103407768,pool_170,173839.768623178
103407768,pool_400,173752.640130569
103407768,pool_14,173701.707780308
103407768,pool_401,173656.590873178
103407768,pool_168,173639.604907398
103407768,pool_386,173562.550261398
103407768,pool_15,173467.456123178
103407768,pool_399,173301.931511398
103407768,pool_13,173267.292407398
103407768,pool_241,173194.171380568
103407768,pool_242,173098.122123178
103407768,pool_240,172743.462761398
103408023,pool_197,85366.6255779247
103408023,pool_198,85152.2768632245
103408023,pool_119,85120.7129529247
103408023,pool_200,85120.4037253267
103408023,pool_199,85042.8597047326
103408023,pool_145,84953.8436716747
103408023,pool_201,84915.1648990245
103408023,pool_120,84906.3642382245
