Pool,Loan,Price
pool_238,3000506699,382305.459441956
pool_238,3000574505,254143.802082739
pool_238,3000590860,668422.801659249
pool_238,3000601026,273873.023368495
pool_238,3200064920,385202.977786922
pool_238,600141087,426995.519416988
pool_238,600145364,359069.251029041
pool_239,103443046,124498.565567124
pool_239,3000596160,91860.9592849317
pool_240,103337294,141613.019135342
pool_240,103451138,179799.062496461
pool_240,103468943,193036.36763178
pool_240,103488016,250099.437020547
pool_240,3000520207,494893.329018492
pool_240,3000572295,472653.417236301
pool_240,3000588231,451027.04796555
pool_240,3000597624,347690.212036643
pool_240,3200060869,313892.038637652
pool_240,600136251,149858.440590205
pool_240,600144275,231123.173072811
pool_240,600146080,632240.778644712
pool_241,103433110,257044.33135274
pool_241,103465237,199935.802309094
pool_241,103483159,336290.768780821
pool_241,3000505805,558747.921005532
pool_241,3000574505,250675.650766713
pool_241,3000590871,312719.759423133
pool_241,3000600142,331546.443699477
pool_241,3200065029,373019.758606322
pool_241,600143415,435951.583253425
pool_241,600145883,136163.957496945
pool_242,103440403,178777.242874967
pool_242,103471444,131062.073150137
pool_242,103501814,128350.423447671
pool_242,3000560076,110933.707726027
pool_242,3000587096,415269.681271232
pool_242,3000598795,139229.271408802
pool_242,3200063974,198635.564220274
pool_242,600142757,290730.84781767
pool_242,600146040,158332.141081644
pool_244,103375292,377053.508938357
pool_244,3000546821,223045.95432241
pool_244,3800034335,463118.550578264
pool_245,103436034,311748.39715991
pool_245,600134355,241247.661442766
pool_246,3000526293,90039.1600712331
pool_246,600141433,477480.699119726
pool_248,103456535,181357.603767124
pool_248,600131536,557393.12516661
pool_249,3000484107,344944.318388056
pool_25,103469331,382098.144116029
pool_251,3000575529,97372.0759099312
pool_252,3000567856,171398.116635184
pool_259,103447016,520213.457085781
pool_259,600145669,701311.657163424
pool_260,600146239,559483.629181575
pool_263,103447016,518352.394335781
pool_263,3000599985,531923.860859176
pool_264,103475653,657569.40378942
pool_264,600144998,560592.13065456
pool_265,3000600589,552873.416580822
pool_267,600133157,594125.694219726
pool_268,600147242,642937.903041172
pool_272,600136717,652233.332944458
pool_284,600139404,252197.425381626
pool_294,103488104,80448.2386906456
pool_3,103450714,291218.841984445
pool_3,103481883,224964.916168534
pool_300,3000595866,102433.44430137
pool_304,3000596160,92640.8836849311
pool_309,103492745,91528.0265986299
pool_310,600145424,140364.447015137
pool_316,103423456,107606.712536301
pool_317,103452300,128147.89260274
pool_318,103469790,170703.430321717
pool_32,103442751,480953.634514635
pool_32,600143643,498019.393321918
pool_324,103430265,195235.130246986
pool_324,600144478,158440.896186576
pool_325,3000590175,207318.699130958
pool_326,103474437,140946.387842602
pool_33,103432395,544794.525886155
pool_330,3000599335,41231.719537918
pool_34,103490776,550927.395904356
pool_344,103493454,103190.521452055
pool_348,103483101,111836.899493121
pool_351,3000526293,91413.4325029666
pool_355,3200058459,105227.131178053
pool_358,3000601406,119661.210123699
pool_36,103482416,600198.501051383
pool_360,103443696,114884.321008562
pool_361,3000601406,118707.806373699
pool_364,103464258,104070.152459001
pool_367,3000565728,44343.4381731509
pool_37,103470955,576494.207252549
pool_370,103443696,115751.836633562
pool_371,103481486,102749.859077184
pool_372,3000583534,139794.831893424
pool_373,3000601406,118771.037013699
pool_374,600139178,133820.520854843
pool_376,103464258,104009.661147945
pool_378,3000599094,41079.102739726
pool_38,103481754,522613.291089589
pool_380,3000558446,118961.511129452
pool_383,103453321,149306.155283779
pool_383,600132383,108927.959998603
pool_384,3000563826,124349.834931507
pool_385,103482433,175445.671747958
pool_386,103456724,176217.891822686
pool_386,600135425,109625.592484872
pool_387,3000585017,133717.58011845
pool_388,103501420,84793.6064517812
pool_389,3000526293,90683.2767364383
pool_391,3000565728,44444.7671731509
pool_393,103389760,123320.95850959
pool_394,3000604302,116333.096436987
pool_396,103455730,177913.205200548
pool_396,3000587087,162512.020166765
pool_397,103450240,133541.609434931
pool_397,3000588117,149600.223061644
pool_398,103455435,174790.477061918
pool_398,3000593179,159395.249184932
pool_399,103498033,168711.702289535
pool_399,600134542,182554.625247831
pool_4,103444429,231861.112952054
pool_4,103457753,204020.298164384
pool_4,103471599,240341.78604752
pool_4,103483809,241932.262493261
pool_4,3000590033,248621.339469987
pool_4,600146905,222431.818578904
pool_400,103490453,161354.679723494
pool_400,600141337,170867.710006015
pool_401,3000570557,116010.379089658
pool_402,103475621,105139.03760274
pool_403,600139178,131492.232104843
pool_405,103450548,171675.556379178
pool_406,3000592076,179916.019430138
pool_408,103450548,171939.468713425
pool_409,103495578,185393.358805479
pool_410,103473098,238455.523434606
pool_411,103479989,225221.041556683
pool_412,103474445,344780.062178082
pool_413,103449143,235146.08559726
pool_413,3000593346,349594.201926026
pool_414,103476617,227650.93471233
pool_415,103458038,176464.763342465
pool_416,103464577,121107.32264726
pool_417,103485632,192546.18088091
pool_42,103460348,710185.987550137
pool_429,103501420,85240.7807015965
pool_438,103389421,139204.40457027
pool_442,3000563826,124912.334931507
pool_444,103501814,128783.171050959
pool_445,3000557767,80422.5847451586
pool_446,600135683,629750.621358902
pool_447,600145583,175017.613924658
pool_449,600144970,88992.6742228771
pool_451,3000594449,301018.018600001
pool_454,3000559404,83618.2152496848
pool_455,3000593182,101806.264273973
pool_457,3000585468,1157740.23933342
pool_5,103428554,258571.798724383
pool_5,103443138,205747.576964384
pool_5,103450037,295362.417264658
pool_5,103455063,272948.093161643
pool_5,103459948,485581.637293069
pool_5,103467414,490376.070789916
pool_5,103472680,360983.603527945
pool_5,103476477,204900.68229411
pool_5,103480896,241645.253089315
pool_5,103486045,488408.517049316
pool_5,103491640,245542.426526027
pool_5,3000515534,206580.83901264
pool_5,3000592145,578849.526018375
pool_5,3800035289,495314.36872435
pool_5,600146576,179956.034132055
pool_6,103424434,227346.801725732
pool_6,103441499,471616.999009235
pool_6,103449061,212170.921540775
pool_6,103454403,142889.43994182
pool_6,103458866,323262.095079653
pool_6,103466726,308244.528946797
pool_6,103472351,270232.733702767
pool_6,103476310,389303.717323216
pool_6,103480849,164879.936046874
pool_6,103486180,292445.0416506
pool_6,103492029,217914.311477753
pool_6,3000551793,355747.455225494
pool_6,3000600473,288340.607816689
pool_6,600143128,407904.818207601
pool_65,600147650,94514.2184663016
pool_7,103435202,403045.15793096
pool_7,103450585,328851.077820958
pool_7,103458420,487074.50816589
pool_7,103471843,338721.230896575
pool_7,103478070,221453.070771206
pool_7,103486819,337266.092600684
pool_7,103501924,473040.674714384
pool_7,3200060617,224160.735155161
pool_73,3000601280,89597.1424977536
pool_8,103427249,366624.015353424
pool_8,103458695,257210.414417533
pool_8,103476172,416363.614315068
pool_8,3000575978,243646.381588603
pool_8,600145858,280638.169370958
pool_82,600140304,129035.76510274
pool_86,3000595856,128351.61392145
pool_9,103397626,330485.648135617
pool_9,103434944,236885.408965343
pool_9,103445284,202562.249550617
pool_9,103452601,154733.209718822
pool_9,103457516,206316.000682192
pool_9,103462737,387944.986736303
pool_9,103468920,334802.381148218
pool_9,103473391,283838.927410275
pool_9,103477470,254594.731444178
pool_9,103481754,534186.895363699
pool_9,103487091,186700.805519543
pool_9,103494654,469124.294543012
pool_9,3000493951,206369.077905709
pool_9,3000566840,554738.043389181
pool_9,3000584990,278038.036438645
pool_9,3000594173,628686.056677808
pool_9,3000606274,189451.45141778
pool_9,3800029840,724359.710090766
pool_9,600142158,443062.48907507
pool_9,600145606,229703.97939041
pool_90,103496368,101970.974931507
pool_91,3000600862,108214.537857409
pool_97,103419765,122620.876569863
pool_98,103421732,169655.859257311
pool_98,600144700,179468.915879452
pool_99,3200063775,154572.256582012
